file,model_pair,strategy,dvfs_condition,dataset,rep,wall_time_s,total_tokens,alpha_mean,gpu_energy_Wh,total_energy_Wh,tokens_per_s,gpu_wh_per_1k,total_wh_per_1k,edp_gpu,edp_total,sm_clock_levels,clock_toggled,power_mw_mean,temp_c_max,f_high,f_low,batch_size,max_model_len,sm_count,sm_total
llama_8b_1b__spec_g12__adaptive_alpha__cnndm__rep0.json,llama_8b_1b,spec_g12,adaptive_alpha,cnndm,0,80.04186964035034,7919,0.8540743056344966,4.016138490686001,7.905617556634428,98.93571996234218,0.5071522276406113,0.9983100841816427,321.45923352908227,632.7804098945978,19,True,180148.136,54,1935,735,8,2048,82,82
llama_8b_1b__spec_g12__adaptive_alpha__gsm8k__rep0.json,llama_8b_1b,spec_g12,adaptive_alpha,gsm8k,0,41.42142391204834,13108,0.916214859437751,2.208877878212001,4.334200570083615,316.45459672831885,0.16851372278089724,0.3306530798049752,91.49486696336518,179.528759133275,17,True,187958.94230284708,54,1935,735,8,2048,82,82
llama_8b_1b__spec_g12__adaptive_alpha__humaneval__rep0.json,llama_8b_1b,spec_g12,adaptive_alpha,humaneval,0,34.25541806221008,9118,0.9144700445832926,1.8118047827759969,3.530766211067173,266.17687115775715,0.19870638108971234,0.38723033681368424,62.0641302811035,120.94787264003149,19,True,184824.00119796346,53,1935,735,8,2048,82,82
llama_8b_1b__spec_g12__adaptive_entropy__cnndm__rep0.json,llama_8b_1b,spec_g12,adaptive_entropy,cnndm,0,80.04725885391235,7919,0.8424115930224666,4.009614596578004,7.908675067244001,98.92905907561824,0.5063283996183866,0.9986961822507894,320.9586575167048,633.0677602991633,19,True,180127.99309130316,54,1935,735,8,2048,82,82
llama_8b_1b__spec_g12__adaptive_entropy__gsm8k__rep0.json,llama_8b_1b,spec_g12,adaptive_entropy,gsm8k,0,41.322508096694946,13108,0.916214859437751,2.205132875216002,4.319021581847307,317.2121103909567,0.16822801916509017,0.32949508558493334,91.12162109040146,178.47280428568553,16,True,187297.95516717326,54,1935,735,8,2048,82,82
llama_8b_1b__spec_g12__adaptive_entropy__humaneval__rep0.json,llama_8b_1b,spec_g12,adaptive_entropy,humaneval,0,34.424338579177856,9118,0.9141325876733077,1.8180847878000033,3.6163451296837166,264.8707390275082,0.19939512917306465,0.3966160484408551,62.58636630088004,124.49028916339311,19,True,184346.98893209692,53,1935,735,8,2048,82,82
llama_8b_1b__spec_g12__off__cnndm__rep0.json,llama_8b_1b,spec_g12,off,cnndm,0,41.403950929641724,7919,0.8880304826836619,4.148274985284001,6.193851934705456,191.26194052004507,0.5238382352928401,0.782150768367907,171.75497393335903,256.44994157001116,10,True,339786.24825,75,1935,735,8,2048,82,82
llama_8b_1b__spec_g12__off__gsm8k__rep0.json,llama_8b_1b,spec_g12,off,gsm8k,0,25.169309377670288,13108,0.916214859437751,2.3948913603559983,3.7550504381658465,520.7929944883255,0.18270455907506852,0.28647012802607924,60.27776157470978,94.51202620695257,11,True,303339.09595588234,70,1935,735,8,2048,82,82
llama_8b_1b__spec_g12__off__humaneval__rep0.json,llama_8b_1b,spec_g12,off,humaneval,0,20.184226989746094,9118,0.9154550865110743,1.9522443395719944,3.0819866060101986,451.73887534222087,0.21410883303048853,0.33801125312680397,39.40454288936809,62.20751723506701,11,True,306665.8472609099,69,1935,735,8,2048,82,82
llama_8b_1b__spec_g12__two_level__cnndm__rep0.json,llama_8b_1b,spec_g12,two_level,cnndm,0,80.08496379852295,7919,0.8688132612798078,4.030511835518002,7.927555949818614,98.88248210890812,0.508967273079682,1.0010804331125918,322.78339443697746,634.8780312519889,20,True,182051.49294245386,63,1935,735,8,2048,82,82
llama_8b_1b__spec_g12__two_level__gsm8k__rep0.json,llama_8b_1b,spec_g12,two_level,gsm8k,0,41.65794134140015,13108,0.916214859437751,2.2231423340679997,4.276249915767009,314.65789181889113,0.16960194797589256,0.3262320655910138,92.61153294618813,178.13976815218936,20,True,190000.25738822934,58,1935,735,8,2048,82,82
llama_8b_1b__spec_g12__two_level__humaneval__rep0.json,llama_8b_1b,spec_g12,two_level,humaneval,0,34.251174211502075,9118,0.9148971466489715,1.8088733915420028,3.5930299148589064,266.2098514840999,0.19838488610901545,0.39405899482988666,61.95603766025574,123.06549356097088,19,True,188044.2301706076,60,1935,735,8,2048,82,82
llama_8b_1b__spec_g18__adaptive_alpha__cnndm__rep0.json,llama_8b_1b,spec_g18,adaptive_alpha,cnndm,0,97.96154141426086,7919,0.8453334784817476,5.03274180396801,9.70387268926629,80.83784601256981,0.63552744083445,1.2253911717724828,493.01514465669413,950.6063263282747,20,True,184706.42322681216,56,1935,735,8,2048,82,82
llama_8b_1b__spec_g18__adaptive_alpha__gsm8k__rep0.json,llama_8b_1b,spec_g18,adaptive_alpha,gsm8k,0,47.56519174575806,12913,0.9108779546550893,2.5754451159100133,4.896195256787452,271.48003668358183,0.1994459162015034,0.3791679127071519,122.50154076893587,232.88846621376626,19,True,190771.57177615573,55,1935,735,8,2048,82,82
llama_8b_1b__spec_g18__adaptive_alpha__humaneval__rep0.json,llama_8b_1b,spec_g18,adaptive_alpha,humaneval,0,36.327059507369995,8979,0.9121662076398036,1.9365137714319887,3.753260044828611,247.17112041998197,0.2156714301628231,0.41800423708972173,70.34785101165134,136.34490099512314,17,True,186206.68115535614,54,1935,735,8,2048,82,82
