model_pair,strategy,gamma,dataset,dvfs_condition,gpu_energy_saving_pct,total_energy_saving_pct,latency_overhead_pct,edp_improvement,p_value_gpu_energy,n_cond,n_off
llama_8b_1b,spec_g12,12,cnndm,adaptive_alpha,3.185335954505281,-27.636527963117576,93.31940030642613,0.5342978394111689,,1,1
llama_8b_1b,spec_g12,12,cnndm,adaptive_entropy,3.342603593009009,-27.685891600508413,93.33241648831459,0.5351311451208316,,1,1
llama_8b_1b,spec_g12,12,cnndm,two_level,2.8388462718542855,-27.990724243807797,93.42348254303644,0.5321059784780648,,1,1
llama_8b_1b,spec_g12,12,gsm8k,adaptive_alpha,7.767094792823772,-15.423231763583267,64.57115803422325,0.6588103089853683,,1,1
llama_8b_1b,spec_g12,12,gsm8k,adaptive_entropy,7.923469443381709,-15.01900315237658,64.17815632778333,0.6615088806959263,,1,1
llama_8b_1b,spec_g12,12,gsm8k,two_level,7.1714746284970445,-13.87995943553134,65.51086371228861,0.6508666864388708,,1,1
llama_8b_1b,spec_g12,12,humaneval,adaptive_alpha,7.193748955972753,-14.561374283126565,69.7137972121121,0.6349004281683374,,1,1
llama_8b_1b,spec_g12,12,humaneval,adaptive_entropy,6.872067653242807,-17.33811959570048,70.5506908769207,0.6296026629814745,,1,1
llama_8b_1b,spec_g12,12,humaneval,two_level,7.343903891734368,-16.581620045074807,69.69277163253372,0.6360081176502635,,1,1
llama_8b_1b,spec_g18,18,cnndm,adaptive_alpha,5.8645187520375845,-21.77592676011398,82.11768613778038,0.5833034283464277,,1,1
llama_8b_1b,spec_g18,18,cnndm,adaptive_entropy,5.664280527833948,-21.9977075651831,82.16011417198153,0.5819297284939591,,1,1
llama_8b_1b,spec_g18,18,cnndm,two_level,5.479115115287013,-22.891214235974644,82.43040800452383,0.579929220520664,,1,1
llama_8b_1b,spec_g18,18,gsm8k,adaptive_alpha,8.165286725114036,-14.060394325237658,62.23692563649508,0.6711868168637404,,1,1
llama_8b_1b,spec_g18,18,gsm8k,adaptive_entropy,7.835857891261501,-14.768170405932484,62.889490075789006,0.666108462829406,,1,1
llama_8b_1b,spec_g18,18,gsm8k,two_level,8.412781787247784,-13.90587323024468,61.93636471467474,0.6742496753473941,,1,1
llama_8b_1b,spec_g18,18,humaneval,adaptive_alpha,6.459618045179959,-17.70933362474691,69.09304091132823,0.6322300391823275,,1,1
llama_8b_1b,spec_g18,18,humaneval,adaptive_entropy,6.762481196843479,-19.37790703116289,68.79194851710592,0.6354151503445232,,1,1
llama_8b_1b,spec_g18,18,humaneval,two_level,6.885936976501621,-18.991462301567935,68.20354271559754,0.6384833608369663,,1,1
llama_8b_1b,spec_g5,5,cnndm,adaptive_alpha,5.051453364292815,-26.93106394481327,94.52553853633617,0.5414209446248783,,1,1
llama_8b_1b,spec_g5,5,cnndm,adaptive_entropy,5.077094921466069,-27.20528873959618,95.02028071916804,0.5401933102638657,,1,1
llama_8b_1b,spec_g5,5,cnndm,two_level,4.883193133125272,-25.71467610828484,94.64442008712653,0.540133084195591,,1,1
llama_8b_1b,spec_g5,5,gsm8k,adaptive_alpha,6.344910921638462,-16.05585676191783,72.23105169877444,0.6199507149644301,,1,1
llama_8b_1b,spec_g5,5,gsm8k,adaptive_entropy,5.3991855755363085,-16.68213960787339,72.0335177164116,0.6144577905355386,,1,1
llama_8b_1b,spec_g5,5,gsm8k,two_level,6.608831434357228,-15.813518293588857,72.0741826972743,0.622269442712783,,1,1
llama_8b_1b,spec_g5,5,humaneval,adaptive_alpha,8.048920043588037,-19.974460530334255,74.88670268902531,0.6218510557665512,,1,1
llama_8b_1b,spec_g5,5,humaneval,adaptive_entropy,7.3555858946206865,-18.13209391705626,73.98692519777971,0.6203890842661894,,1,1
llama_8b_1b,spec_g5,5,humaneval,two_level,5.3904826166731645,-19.299167018282322,73.84225497934848,0.6080087455120269,,1,1
