model_pair,strategy,gamma,dataset,dvfs_condition,vanilla_source,gpu_energy_ratio_vs_vanilla,speedup_vs_vanilla
llama_8b_1b,spec_g12,12,cnndm,adaptive_alpha,llama_8b_1b,0.9312276236821723,0.436879002841696
llama_8b_1b,spec_g12,12,cnndm,adaptive_entropy,llama_8b_1b,0.9327427893573295,0.43684958978894717
llama_8b_1b,spec_g12,12,cnndm,off,llama_8b_1b,0.9015648953667389,0.8445718683582611
llama_8b_1b,spec_g12,12,cnndm,two_level,llama_8b_1b,0.9279067412983723,0.4366439158546042
llama_8b_1b,spec_g18,18,cnndm,adaptive_alpha,llama_8b_1b,0.7431215923120309,0.3569626578882178
llama_8b_1b,spec_g18,18,cnndm,adaptive_entropy,llama_8b_1b,0.741544232762069,0.35687951551686903
llama_8b_1b,spec_g18,18,cnndm,off,llama_8b_1b,0.6995410871804515,0.6500921329219432
llama_8b_1b,spec_g18,18,cnndm,two_level,llama_8b_1b,0.7400915554627753,0.35635075316271975
llama_8b_1b,spec_g5,5,cnndm,adaptive_alpha,llama_8b_1b,1.1805164461884834,0.5528705654335584
llama_8b_1b,spec_g5,5,cnndm,adaptive_entropy,llama_8b_1b,1.1808353395043154,0.5514680016111835
llama_8b_1b,spec_g5,5,cnndm,off,llama_8b_1b,1.1208832084514653,1.0754744448185163
llama_8b_1b,spec_g5,5,cnndm,two_level,llama_8b_1b,1.1784281299731296,0.5525328927164279
llama_8b_1b,spec_g12,12,gsm8k,adaptive_alpha,llama_8b_1b,1.9291058524734819,0.9650523647512631
llama_8b_1b,spec_g12,12,gsm8k,adaptive_entropy,llama_8b_1b,1.9323820755429895,0.9673624602879307
llama_8b_1b,spec_g12,12,gsm8k,off,llama_8b_1b,1.7792703722579555,1.5881978523078097
llama_8b_1b,spec_g12,12,gsm8k,two_level,llama_8b_1b,1.9167280371386426,0.9595731764584415
llama_8b_1b,spec_g18,18,gsm8k,adaptive_alpha,llama_8b_1b,1.6545331197059236,0.8404011763760356
llama_8b_1b,spec_g18,18,gsm8k,adaptive_entropy,llama_8b_1b,1.6486192045571009,0.8370343789099215
llama_8b_1b,spec_g18,18,gsm8k,off,llama_8b_1b,1.5194357465199606,1.3634410315654186
llama_8b_1b,spec_g18,18,gsm8k,two_level,llama_8b_1b,1.6590041450875739,0.8419609974373243
llama_8b_1b,spec_g5,5,gsm8k,adaptive_alpha,llama_8b_1b,2.0000301174777304,1.0009431688880652
llama_8b_1b,spec_g5,5,gsm8k,adaptive_entropy,llama_8b_1b,1.9800357951605938,1.0020924814923406
llama_8b_1b,spec_g5,5,gsm8k,off,llama_8b_1b,1.8731299881178274,1.7239349466829545
llama_8b_1b,spec_g5,5,gsm8k,two_level,llama_8b_1b,2.005682139849489,1.0018556646093908
