model_pair,strategy,dvfs_condition,dataset,gpu_energy_Wh_mean,gpu_energy_Wh_std,gpu_energy_Wh_count,total_energy_Wh_mean,total_energy_Wh_std,total_energy_Wh_count,wall_time_s_mean,wall_time_s_std,wall_time_s_count,tokens_per_s_mean,tokens_per_s_std,tokens_per_s_count,gpu_wh_per_1k_mean,gpu_wh_per_1k_std,gpu_wh_per_1k_count,total_wh_per_1k_mean,total_wh_per_1k_std,total_wh_per_1k_count,edp_gpu_mean,edp_gpu_std,edp_gpu_count,edp_total_mean,edp_total_std,edp_total_count,alpha_mean_mean,alpha_mean_std,alpha_mean_count
llama_8b_1b,spec_g12,adaptive_alpha,cnndm,4.016138490686001,,1,7.905617556634428,,1,80.04186964035034,,1,98.93571996234218,,1,0.5071522276406113,,1,0.9983100841816428,,1,321.45923352908227,,1,632.7804098945978,,1,0.8540743056344966,,1
llama_8b_1b,spec_g12,adaptive_alpha,gsm8k,2.208877878212001,,1,4.334200570083615,,1,41.42142391204834,,1,316.45459672831885,,1,0.1685137227808972,,1,0.3306530798049752,,1,91.49486696336518,,1,179.528759133275,,1,0.916214859437751,,1
llama_8b_1b,spec_g12,adaptive_alpha,humaneval,1.8118047827759969,,1,3.530766211067173,,1,34.25541806221008,,1,266.17687115775715,,1,0.1987063810897123,,1,0.3872303368136842,,1,62.0641302811035,,1,120.94787264003148,,1,0.9144700445832926,,1
llama_8b_1b,spec_g12,adaptive_entropy,cnndm,4.009614596578004,,1,7.908675067244001,,1,80.04725885391235,,1,98.92905907561824,,1,0.5063283996183866,,1,0.9986961822507894,,1,320.9586575167048,,1,633.0677602991633,,1,0.8424115930224666,,1
llama_8b_1b,spec_g12,adaptive_entropy,gsm8k,2.205132875216002,,1,4.319021581847307,,1,41.32250809669495,,1,317.2121103909567,,1,0.1682280191650901,,1,0.3294950855849333,,1,91.12162109040146,,1,178.47280428568553,,1,0.916214859437751,,1
llama_8b_1b,spec_g12,adaptive_entropy,humaneval,1.8180847878000037,,1,3.616345129683717,,1,34.424338579177856,,1,264.8707390275082,,1,0.1993951291730646,,1,0.3966160484408551,,1,62.58636630088004,,1,124.49028916339311,,1,0.9141325876733076,,1
llama_8b_1b,spec_g12,off,cnndm,4.148274985284001,,1,6.193851934705456,,1,41.40395092964173,,1,191.26194052004507,,1,0.5238382352928401,,1,0.782150768367907,,1,171.75497393335905,,1,256.4499415700112,,1,0.8880304826836619,,1
llama_8b_1b,spec_g12,off,gsm8k,2.3948913603559983,,1,3.7550504381658474,,1,25.169309377670288,,1,520.7929944883255,,1,0.1827045590750685,,1,0.2864701280260792,,1,60.27776157470978,,1,94.51202620695256,,1,0.916214859437751,,1
llama_8b_1b,spec_g12,off,humaneval,1.9522443395719944,,1,3.0819866060101986,,1,20.184226989746094,,1,451.73887534222087,,1,0.2141088330304885,,1,0.3380112531268039,,1,39.40454288936809,,1,62.20751723506701,,1,0.9154550865110744,,1
llama_8b_1b,spec_g12,two_level,cnndm,4.030511835518002,,1,7.927555949818614,,1,80.08496379852295,,1,98.88248210890812,,1,0.508967273079682,,1,1.0010804331125918,,1,322.78339443697746,,1,634.8780312519889,,1,0.8688132612798078,,1
llama_8b_1b,spec_g12,two_level,gsm8k,2.223142334068,,1,4.276249915767009,,1,41.65794134140015,,1,314.6578918188912,,1,0.1696019479758925,,1,0.3262320655910138,,1,92.61153294618812,,1,178.13976815218936,,1,0.916214859437751,,1
llama_8b_1b,spec_g12,two_level,humaneval,1.8088733915420028,,1,3.5930299148589064,,1,34.251174211502075,,1,266.2098514840999,,1,0.1983848861090154,,1,0.3940589948298866,,1,61.95603766025574,,1,123.06549356097088,,1,0.9148971466489716,,1
