==PROF== Connected to process 12010 (/root/miniconda3/envs/specdvfs/bin/python3.10)
INFO 06-20 13:11:37 config.py:510] This model supports multiple tasks: {'score', 'generate', 'reward', 'embed', 'classify'}. Defaulting to 'generate'.
WARNING 06-20 13:11:39 cuda.py:98] To see benefits of async output processing, enable CUDA graph. Since, enforce-eager is enabled, async output processor cannot be used
WARNING 06-20 13:11:39 config.py:642] Async output processing is not supported on the current platform type cuda.
INFO 06-20 13:11:39 llm_engine.py:234] Initializing an LLM engine (v0.6.6) with config: model='meta-llama/Llama-3.1-8B-Instruct', speculative_config=SpeculativeConfig(draft_model='meta-llama/Llama-3.2-1B-Instruct', num_spec_tokens=5), tokenizer='meta-llama/Llama-3.1-8B-Instruct', skip_tokenizer_init=False, tokenizer_mode=auto, revision=None, override_neuron_config=None, tokenizer_revision=None, trust_remote_code=False, dtype=torch.bfloat16, max_seq_len=2048, download_dir=None, load_format=auto, tensor_parallel_size=1, pipeline_parallel_size=1, disable_custom_all_reduce=False, quantization=None, enforce_eager=True, kv_cache_dtype=auto, quantization_param_path=None, device_config=cuda, decoding_config=DecodingConfig(guided_decoding_backend='xgrammar'), observability_config=ObservabilityConfig(otlp_traces_endpoint=None, collect_model_forward_time=False, collect_model_execute_time=False), seed=42, served_model_name=meta-llama/Llama-3.1-8B-Instruct, num_scheduler_steps=1, multi_step_stream_outputs=True, enable_prefix_caching=False, chunked_prefill_enabled=False, use_async_output_proc=False, disable_mm_preprocessor_cache=False, mm_processor_kwargs=None, pooler_config=None, compilation_config={"splitting_ops":["vllm.unified_attention","vllm.unified_attention_with_output"],"candidate_compile_sizes":[],"compile_sizes":[],"capture_sizes":[],"max_capture_size":0}, use_cached_outputs=False, 
INFO 06-20 13:11:41 selector.py:120] Using Flash Attention backend.
INFO 06-20 13:11:41 selector.py:120] Using Flash Attention backend.
INFO 06-20 13:11:41 spec_decode_worker.py:191] Configuring SpecDecodeWorker with proposer=<class 'vllm.spec_decode.multi_step_worker.MultiStepWorker'>
INFO 06-20 13:11:41 rejection_sampler.py:57] Use pytorch for rejection sampling.
INFO 06-20 13:11:41 spec_decode_worker.py:203] [Speculative Decoding] Configuring SpecDecodeWorker with sampler=<class 'vllm.model_executor.layers.rejection_sampler.RejectionSampler'>
==PROF== Connected to process 11970 (/root/miniconda3/envs/specdvfs/bin/python3.10)
INFO 06-20 13:11:42 model_runner.py:1094] Starting to load model meta-llama/Llama-3.1-8B-Instruct...
INFO 06-20 13:11:43 weight_utils.py:251] Using model weights format ['*.safetensors']
INFO 06-20 13:11:46 model_runner.py:1099] Loading model weights took 14.9888 GB
INFO 06-20 13:11:46 model_runner.py:1094] Starting to load model meta-llama/Llama-3.2-1B-Instruct...
INFO 06-20 13:11:47 weight_utils.py:251] Using model weights format ['*.safetensors']
INFO 06-20 13:11:47 weight_utils.py:296] No model.safetensors.index.json found in remote.
INFO 06-20 13:11:48 model_runner.py:1099] Loading model weights took 2.3185 GB
INFO 06-20 13:11:48 spec_decode_worker.py:337] [Speculative Decoding] Use MQA scorer for scoring proposals.
INFO 06-20 13:11:50 worker.py:241] Memory profiling takes 1.65 seconds
INFO 06-20 13:11:50 worker.py:241] the current vLLM instance can use total_gpu_memory (23.69GiB) x gpu_memory_utilization (0.90) = 21.32GiB
INFO 06-20 13:11:50 worker.py:241] model weights take 14.99GiB; non_torch_memory takes 2.37GiB; PyTorch activation peak memory takes 0.22GiB; the rest of the memory reserved for KV Cache is 3.75GiB.
INFO 06-20 13:11:50 gpu_executor.py:76] # GPU blocks: 1534, # CPU blocks: 2048
INFO 06-20 13:11:50 gpu_executor.py:80] Maximum concurrency for 2048 tokens per request: 11.98x
INFO 06-20 13:11:51 llm_engine.py:431] init engine (profile, create kv cache, warmup model) took 3.50 seconds
==PROF== Trying to shutdown target application
==ERROR== Failed to profile "fused_add_rms_norm_kernel" in process 11970
==PROF== Trying to shutdown target application
==ERROR== An error occurred while trying to profile.
"ID","Process ID","Process Name","Host Name","thread Domain:Push/Pop_Range:PL_Type:PL_Value:CLR_Type:Color:Msg_Type:Msg","Id:Domain:Start/Stop_Range:PL_Type:PL_Value:CLR_Type:Color:Msg_Type:Msg","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","11970","python3.10","127.0.0.1","11970  ""<default domain>:spec_decode_worker._run_speculative_decoding_step:none:none:none:none:none:none""  ""<default domain>:specdvfs_draft:none:none:none:none:none:none"" ","","void at::<unnamed>::indexSelectSmallIndex<c10::BFloat16, long, unsigned int, 2, 2, (int)-2>(cuda::TensorInfo<T1, T3>, cuda::TensorInfo<const T1, T3>, cuda::TensorInfo<const T2, T3>, int, int, T3, long)","1","7","(128, 1, 1)","(16, 1, 1)","0","8.6","Command line profiler metrics","dram__bytes.sum","byte","9216"
"0","11970","python3.10","127.0.0.1","11970  ""<default domain>:spec_decode_worker._run_speculative_decoding_step:none:none:none:none:none:none""  ""<default domain>:specdvfs_draft:none:none:none:none:none:none"" ","","void at::<unnamed>::indexSelectSmallIndex<c10::BFloat16, long, unsigned int, 2, 2, (int)-2>(cuda::TensorInfo<T1, T3>, cuda::TensorInfo<const T1, T3>, cuda::TensorInfo<const T2, T3>, int, int, T3, long)","1","7","(128, 1, 1)","(16, 1, 1)","0","8.6","Command line profiler metrics","sm__sass_thread_inst_executed_op_fadd_pred_on.sum","inst","0"
"0","11970","python3.10","127.0.0.1","11970  ""<default domain>:spec_decode_worker._run_speculative_decoding_step:none:none:none:none:none:none""  ""<default domain>:specdvfs_draft:none:none:none:none:none:none"" ","","void at::<unnamed>::indexSelectSmallIndex<c10::BFloat16, long, unsigned int, 2, 2, (int)-2>(cuda::TensorInfo<T1, T3>, cuda::TensorInfo<const T1, T3>, cuda::TensorInfo<const T2, T3>, int, int, T3, long)","1","7","(128, 1, 1)","(16, 1, 1)","0","8.6","Command line profiler metrics","sm__sass_thread_inst_executed_op_ffma_pred_on.sum","inst","0"
"0","11970","python3.10","127.0.0.1","11970  ""<default domain>:spec_decode_worker._run_speculative_decoding_step:none:none:none:none:none:none""  ""<default domain>:specdvfs_draft:none:none:none:none:none:none"" ","","void at::<unnamed>::indexSelectSmallIndex<c10::BFloat16, long, unsigned int, 2, 2, (int)-2>(cuda::TensorInfo<T1, T3>, cuda::TensorInfo<const T1, T3>, cuda::TensorInfo<const T2, T3>, int, int, T3, long)","1","7","(128, 1, 1)","(16, 1, 1)","0","8.6","Command line profiler metrics","sm__sass_thread_inst_executed_op_fmul_pred_on.sum","inst","0"
"1","11970","python3.10","127.0.0.1","11970  ""<default domain>:spec_decode_worker._run_speculative_decoding_step:none:none:none:none:none:none""  ""<default domain>:specdvfs_draft:none:none:none:none:none:none"" ","","void vllm::rms_norm_kernel<c10::BFloat16>(T1 *, const T1 *, const T1 *, float, int, int)","1","7","(1024, 1, 1)","(4, 1, 1)","0","8.6","Command line profiler metrics","dram__bytes.sum","byte","28800"
"1","11970","python3.10","127.0.0.1","11970  ""<default domain>:spec_decode_worker._run_speculative_decoding_step:none:none:none:none:none:none""  ""<default domain>:specdvfs_draft:none:none:none:none:none:none"" ","","void vllm::rms_norm_kernel<c10::BFloat16>(T1 *, const T1 *, const T1 *, float, int, int)","1","7","(1024, 1, 1)","(4, 1, 1)","0","8.6","Command line profiler metrics","sm__sass_thread_inst_executed_op_fadd_pred_on.sum","inst","16640"
"1","11970","python3.10","127.0.0.1","11970  ""<default domain>:spec_decode_worker._run_speculative_decoding_step:none:none:none:none:none:none""  ""<default domain>:specdvfs_draft:none:none:none:none:none:none"" ","","void vllm::rms_norm_kernel<c10::BFloat16>(T1 *, const T1 *, const T1 *, float, int, int)","1","7","(1024, 1, 1)","(4, 1, 1)","0","8.6","Command line profiler metrics","sm__sass_thread_inst_executed_op_ffma_pred_on.sum","inst","8212"
"1","11970","python3.10","127.0.0.1","11970  ""<default domain>:spec_decode_worker._run_speculative_decoding_step:none:none:none:none:none:none""  ""<default domain>:specdvfs_draft:none:none:none:none:none:none"" ","","void vllm::rms_norm_kernel<c10::BFloat16>(T1 *, const T1 *, const T1 *, float, int, int)","1","7","(1024, 1, 1)","(4, 1, 1)","0","8.6","Command line profiler metrics","sm__sass_thread_inst_executed_op_fmul_pred_on.sum","inst","16384"
"2","11970","python3.10","127.0.0.1","11970  ""<default domain>:spec_decode_worker._run_speculative_decoding_step:none:none:none:none:none:none""  ""<default domain>:specdvfs_draft:none:none:none:none:none:none"" ","","ampere_bf16_s16816gemm_bf16_64x64_ldg8_f2f_stages_64x5_tn","1","7","(128, 1, 1)","(48, 1, 1)","0","8.6","Command line profiler metrics","dram__bytes.sum","byte","14486272"
"2","11970","python3.10","127.0.0.1","11970  ""<default domain>:spec_decode_worker._run_speculative_decoding_step:none:none:none:none:none:none""  ""<default domain>:specdvfs_draft:none:none:none:none:none:none"" ","","ampere_bf16_s16816gemm_bf16_64x64_ldg8_f2f_stages_64x5_tn","1","7","(128, 1, 1)","(48, 1, 1)","0","8.6","Command line profiler metrics","sm__sass_thread_inst_executed_op_fadd_pred_on.sum","inst","0"
